m,aw,origin
13.973,0.479,1
14.253,0.488,1
14.393,0.496,1
14.451,0.493,1
14.451,0.499,1
14.698,0.502,1
14.698,0.507,1
14.698,0.51,1
14.747,0.493,1
14.747,0.497,1
14.747,0.505,1
14.747,0.508,1
14.747,0.515,1
14.805,0.504,1
14.871,0.5,1
14.92,0.507,1
14.945,0.51,1
14.978,0.51,1
15.003,0.505,1
15.019,0.512,1
15.044,0.501,1
15.06,0.504,1
15.069,0.516,1
15.143,0.509,1
15.184,0.504,1
15.25,0.502,1
15.283,0.51,1
15.324,0.511,1
15.357,0.509,1
15.357,0.515,1
15.39,0.509,1
15.44,0.512,1
15.448,0.519,1
15.407,0.529,1
15.497,0.51,1
15.505,0.523,1
15.555,0.521,1
15.604,0.519,1
15.604,0.53,1
15.646,0.516,1
15.637,0.522,1
15.679,0.517,1
15.728,0.524,1
15.761,0.521,1
15.761,0.526,1
15.835,0.521,1
15.868,0.52,1
15.926,0.522,1
15.893,0.531,1
15.852,0.55,1
16.041,0.521,1
16.041,0.525,1
16.049,0.527,1
16.247,0.521,1
16.321,0.533,1
16.346,0.536,1
16.445,0.529,1
16.445,0.536,1
16.478,0.532,1
16.618,0.532,1
16.593,0.538,1
16.643,0.543,1
16.75,0.537,1
16.849,0.544,1
17.047,0.552,1
17.195,0.551,1
17.269,0.561,1
17.475,0.554,1
17.821,0.568,1
18.168,0.567,1
18.398,0.576,1
18.547,0.577,1
13.445,0.495,2
13.75,0.494,2
13.75,0.512,2
13.791,0.482,2
14.17,0.512,2
14.253,0.515,2
14.277,0.504,2
14.343,0.508,2
14.368,0.504,2
14.368,0.515,2
14.451,0.5,2
14.451,0.505,2
14.549,0.504,2
14.549,0.507,2
14.607,0.505,2
14.624,0.512,2
14.624,0.518,2
14.599,0.524,2
14.657,0.522,2
14.657,0.524,2
14.698,0.516,2
14.747,0.52,2
14.805,0.52,2
14.821,0.497,2
14.995,0.503,2
15.036,0.516,2
15.036,0.508,2
15.102,0.505,2
15.085,0.509,2
15.093,0.52,2
14.978,0.528,2
15.234,0.519,2
15.225,0.524,2
15.184,0.538,2
15.242,0.534,2
15.266,0.545,2
15.316,0.501,2
15.365,0.508,2
15.407,0.522,2
15.382,0.526,2
15.349,0.532,2
15.448,0.535,2
15.497,0.526,2
15.571,0.514,2
15.654,0.513,2
15.58,0.549,2
15.555,0.55,2
15.596,0.553,2
15.745,0.534,2
15.992,0.536,2
16.041,0.542,2
16.157,0.534,2
16.124,0.545,2
16.107,0.557,2
16.239,0.552,2
16.42,0.562,2
16.544,0.561,2
16.684,0.567,2
16.643,0.575,2
16.75,0.558,2
16.791,0.549,2
16.865,0.568,2
17.022,0.562,2
17.261,0.573,2
17.549,0.558,2
17.953,0.583,2
17.541,0.591,2
14.607,0.545,2
14.739,0.535,2
14.412,0.53,3
14.616,0.549,3
14.809,0.54,3
14.811,0.571,3
14.915,0.553,3
15.208,0.583,3
15.417,0.549,3
15.418,0.556,3
15.409,0.562,3
15.418,0.566,3
15.418,0.57,3
15.419,0.576,3
15.428,0.589,3
15.594,0.56,3
15.594,0.562,3
15.613,0.576,3
15.613,0.58,3
15.622,0.585,3
15.605,0.588,3
15.701,0.573,3
15.823,0.561,3
15.824,0.569,3
15.833,0.572,3
15.833,0.575,3
15.825,0.592,3
15.825,0.588,3
16.017,0.567,3
16.027,0.576,3
16.027,0.579,3
16.01,0.587,3
16.002,0.601,3
16.116,0.6,3
16.22,0.562,3
16.211,0.566,3
16.203,0.573,3
16.212,0.578,3
16.212,0.581,3
16.204,0.589,3
16.213,0.593,3
16.222,0.596,3
16.301,0.601,3
16.406,0.575,3
16.424,0.581,3
16.398,0.591,3
16.398,0.595,3
16.425,0.607,3
16.531,0.606,3
16.608,0.574,3
16.609,0.583,3
16.609,0.588,3
16.583,0.593,3
16.618,0.6,3
16.601,0.606,3
16.61,0.61,3
16.61,0.614,3
16.802,0.578,3
16.785,0.584,3
16.75,0.592,3
16.786,0.6,3
16.786,0.604,3
16.786,0.608,3
16.795,0.612,3
16.926,0.584,3
16.909,0.596,3
16.936,0.609,3
16.927,0.612,3
17.032,0.592,3
17.024,0.602,3
17.042,0.614,3
17.208,0.589,3
17.235,0.599,3
17.218,0.608,3
17.218,0.613,3
17.219,0.619,3
17.332,0.59,3
17.35,0.599,3
17.403,0.615,3
17.413,0.622,3
17.422,0.628,3
17.402,0.582,3
17.614,0.602,3
17.606,0.611,3
17.597,0.617,3
17.817,0.603,3
17.808,0.607,3
17.8,0.616,3
17.8,0.622,3
17.915,0.622,3
17.924,0.627,3
18.021,0.623,3
18.1,0.627,3
18.126,0.615,3
18.231,0.606,3
18.231,0.61,3
18.434,0.611,3
18.417,0.625,3
19.819,0.64,3
22.709,0.648,3
14,0.551,4
14,0.555,4
14.212,0.551,4
14.183,0.557,4
14.298,0.574,4
14.404,0.565,4
14.471,0.575,4
14.606,0.558,4
14.606,0.57,4
14.606,0.577,4
14.817,0.564,4
14.808,0.567,4
14.808,0.576,4
14.981,0.567,4
14.981,0.573,4
15.01,0.581,4
15.212,0.588,4
15.288,0.589,4
15.404,0.559,4
15.404,0.569,4
15.404,0.573,4
15.413,0.578,4
15.413,0.582,4
15.413,0.588,4
15.548,0.58,4
15.625,0.58,4
15.606,0.593,4
15.673,0.584,4
15.769,0.585,4
15.808,0.6,4
15.808,0.603,4
15.865,0.584,4
15.875,0.588,4
15.99,0.596,4
16.067,0.588,4
16.077,0.584,4
16.077,0.581,4
16,0.57,4
16.202,0.577,4
16.192,0.584,4
16.212,0.588,4
16.183,0.592,4
16.317,0.582,4
16.279,0.593,4
16.202,0.607,4
16.298,0.613,4
16.404,0.596,4
16.51,0.609,4
16.606,0.599,4
16.606,0.604,4
16.625,0.609,4
16.712,0.612,4
16.827,0.614,4
16.817,0.602,4
16.894,0.622,4
16.981,0.601,4
16.904,0.584,4
17.202,0.585,4
17.202,0.597,4
17.404,0.625,4
17.683,0.629,4
17.702,0.609,4
13.97,0.57,5
13.97,0.54,5
14.07,0.57,5
14.18,0.56,5
14.27,0.53,5
14.27,0.57,5
14.38,0.58,5
14.38,0.56,5
14.48,0.58,5
14.49,0.57,5
14.48,0.56,5
14.48,0.54,5
14.49,0.53,5
14.56,0.56,5
14.56,0.56,5
14.7,0.55,5
14.7,0.56,5
14.7,0.57,5
14.69,0.58,5
14.79,0.56,5
14.79,0.57,5
14.79,0.58,5
14.8,0.59,5
14.91,0.55,5
14.9,0.56,5
14.9,0.57,5
14.9,0.57,5
14.91,0.58,5
14.91,0.59,5
15,0.55,5
15,0.55,5
15,0.56,5
15,0.57,5
15,0.59,5
15.11,0.56,5
15.11,0.56,5
15.11,0.57,5
15.1,0.58,5
15.1,0.58,5
15.11,0.62,5
15.21,0.55,5
15.21,0.56,5
15.22,0.57,5
15.21,0.57,5
15.21,0.58,5
15.21,0.58,5
15.21,0.59,5
15.3,0.55,5
15.3,0.56,5
15.3,0.57,5
15.3,0.57,5
15.3,0.58,5
15.3,0.58,5
15.3,0.59,5
15.4,0.56,5
15.4,0.57,5
15.4,0.58,5
15.39,0.58,5
15.39,0.59,5
15.5,0.57,5
15.5,0.58,5
15.51,0.58,5
15.51,0.59,5
15.61,0.58,5
15.6,0.58,5
15.6,0.6,5
15.71,0.56,5
15.71,0.57,5
15.71,0.58,5
15.71,0.59,5
15.72,0.6,5
15.71,0.63,5
15.81,0.56,5
15.81,0.58,5
15.81,0.59,5
15.81,0.6,5
15.81,0.61,5
15.82,0.63,5
15.91,0.58,5
15.91,0.58,5
15.91,0.59,5
15.91,0.6,5
15.92,0.61,5
16.03,0.59,5
16.02,0.6,5
16.03,0.61,5
16.499,0.569,6
16.789,0.58,6
16.887,0.587,6
16.988,0.598,6
17.089,0.589,6
17.197,0.608,6
17.295,0.587,6
17.504,0.591,6
17.817,0.596,6
17.915,0.592,6
18.218,0.599,6
19.412,0.622,6
14.873,0.528,7
15.714,0.537,7
15.893,0.549,7
16,0.552,7
16.094,0.547,7
16.095,0.552,7
16.107,0.557,7
16.499,0.563,7
16.7,0.562,7
