m,aw
1,0.070998287
2,0.114859142
5,0.215091592
7.5,0.292995967
10,0.367464121
11,0.395806963
12,0.423168977
13,0.449486663
14,0.474722311
15,0.498859783
16,0.521900283
17,0.543858504
18,0.564759295
19,0.584634888
20,0.603522641
21,0.621463228
22,0.638499234
23,0.654674054
24,0.670031074
25,0.684613049
26,0.698461655
27,0.71161718
28,0.724118308
29,0.736001987
30,0.747303362
35,0.79617898
40,0.834760338
45,0.865629408
50,0.890658358
55,0.911208475
60,0.928278503
70,0.954759339
80,0.974112158
90,0.98870477
